time,open,high,low,close,volume
2007-02-06 00:00:00+00:00,0.7758,0.7781,0.7741,0.7774,1765
2007-02-07 00:00:00+00:00,0.7773,0.7795,0.7758,0.779,1794
2007-02-08 00:00:00+00:00,0.7791,0.7818,0.7766,0.7814,2650
2007-02-09 00:00:00+00:00,0.7815,0.782,0.7751,0.7762,2218
2007-02-12 00:00:00+00:00,0.777,0.7775,0.7711,0.7717,2023
2007-02-13 00:00:00+00:00,0.7716,0.7795,0.7707,0.7789,2406
2007-02-14 00:00:00+00:00,0.7788,0.7849,0.7785,0.7832,2689
2007-02-15 00:00:00+00:00,0.7833,0.7863,0.7824,0.7836,2780
2007-02-16 00:00:00+00:00,0.7835,0.7871,0.7832,0.7868,1720
2007-02-19 00:00:00+00:00,0.7869,0.7886,0.7845,0.786,1508
2007-02-20 00:00:00+00:00,0.7861,0.7869,0.7849,0.7862,1415
2007-02-21 00:00:00+00:00,0.786,0.7919,0.7851,0.7911,2930
2007-02-22 00:00:00+00:00,0.7914,0.7914,0.7873,0.7889,2085
2007-02-23 00:00:00+00:00,0.7892,0.7923,0.788,0.7915,1714
2007-02-26 00:00:00+00:00,0.7922,0.7943,0.791,0.7935,1596
2007-02-27 00:00:00+00:00,0.7937,0.7944,0.7871,0.7873,3818
2007-02-28 00:00:00+00:00,0.7872,0.7893,0.7853,0.7875,5030
2007-03-01 00:00:00+00:00,0.7875,0.7883,0.7835,0.7841,3437
2007-03-02 00:00:00+00:00,0.7842,0.7861,0.781,0.782,2851
2007-03-05 00:00:00+00:00,0.7822,0.7822,0.7681,0.7682,4082
2007-03-06 00:00:00+00:00,0.7684,0.7754,0.768,0.7745,3638
2007-03-07 00:00:00+00:00,0.7746,0.7795,0.7739,0.7768,3379
2007-03-08 00:00:00+00:00,0.777,0.7789,0.775,0.7774,2825
2007-03-09 00:00:00+00:00,0.7771,0.7814,0.777,0.7799,2663
2007-03-12 00:00:00+00:00,0.7808,0.7871,0.7796,0.7865,2786
2007-03-13 00:00:00+00:00,0.7867,0.7883,0.7797,0.7801,3663
2007-03-14 00:00:00+00:00,0.7804,0.7874,0.7801,0.7868,3609
2007-03-15 00:00:00+00:00,0.7871,0.7896,0.7847,0.7878,3097
2007-03-16 00:00:00+00:00,0.7876,0.7973,0.7876,0.7957,3735
2007-03-19 00:00:00+00:00,0.7941,0.8032,0.7933,0.8018,3725
2007-03-20 00:00:00+00:00,0.8019,0.8038,0.7962,0.803,4146
2007-03-21 00:00:00+00:00,0.8032,0.8087,0.8001,0.8084,3383
2007-03-22 00:00:00+00:00,0.8083,0.809,0.805,0.8055,3071
2007-03-23 00:00:00+00:00,0.8056,0.8077,0.8043,0.8047,2887
2007-03-26 00:00:00+00:00,0.8051,0.8105,0.8027,0.8098,2901
2007-03-27 00:00:00+00:00,0.8099,0.8108,0.8065,0.8077,2832
2007-03-28 00:00:00+00:00,0.8076,0.8081,0.8037,0.8052,3666
2007-03-29 00:00:00+00:00,0.8054,0.8098,0.805,0.8073,2509
2007-03-30 00:00:00+00:00,0.8072,0.8126,0.8056,0.8084,3147
2007-04-02 00:00:00+00:00,0.8095,0.8181,0.8081,0.8169,3163
2007-04-03 00:00:00+00:00,0.8167,0.8173,0.8115,0.8129,2774
2007-04-04 00:00:00+00:00,0.8127,0.8194,0.8062,0.8184,4079
2007-04-05 00:00:00+00:00,0.8183,0.821,0.8163,0.8195,3092
2007-04-06 00:00:00+00:00,0.8192,0.8201,0.8151,0.8162,1385
2007-04-09 00:00:00+00:00,0.8165,0.8174,0.8151,0.8167,1301
2007-04-10 00:00:00+00:00,0.8169,0.8266,0.8158,0.8255,2931
2007-04-11 00:00:00+00:00,0.8256,0.8266,0.8234,0.8253,2702
2007-04-12 00:00:00+00:00,0.825,0.8295,0.8231,0.8291,3044
2007-04-13 00:00:00+00:00,0.8289,0.8338,0.8289,0.8333,3146
2007-04-16 00:00:00+00:00,0.8342,0.8358,0.8311,0.8323,2811
2007-04-17 00:00:00+00:00,0.8324,0.8385,0.8314,0.8367,2430
2007-04-18 00:00:00+00:00,0.8366,0.8389,0.8314,0.8389,2210
2007-04-19 00:00:00+00:00,0.8388,0.8388,0.8281,0.8356,3273
2007-04-20 00:00:00+00:00,0.8359,0.8378,0.8338,0.8375,2350
2007-04-23 00:00:00+00:00,0.8374,0.8375,0.8314,0.8323,2216
2007-04-24 00:00:00+00:00,0.8324,0.8338,0.8232,0.8277,4095
2007-04-25 00:00:00+00:00,0.8278,0.8357,0.8271,0.8352,3166
2007-04-26 00:00:00+00:00,0.8353,0.8354,0.825,0.8263,2930
2007-04-27 00:00:00+00:00,0.826,0.8336,0.8238,0.8298,3969
2007-04-30 00:00:00+00:00,0.8285,0.8329,0.8256,0.8295,2826
2007-05-01 00:00:00+00:00,0.8295,0.8327,0.827,0.8274,2684
2007-05-02 00:00:00+00:00,0.8275,0.8281,0.822,0.8241,3378
2007-05-03 00:00:00+00:00,0.8242,0.8257,0.8221,0.8232,2272
2007-05-04 00:00:00+00:00,0.8234,0.8235,0.8169,0.8213,3008
2007-05-07 00:00:00+00:00,0.821,0.8264,0.8203,0.8245,2112
2007-05-08 00:00:00+00:00,0.8242,0.8307,0.8241,0.8281,2707
2007-05-09 00:00:00+00:00,0.828,0.8306,0.8263,0.8273,2318
2007-05-10 00:00:00+00:00,0.8274,0.8334,0.8235,0.8253,3621
2007-05-11 00:00:00+00:00,0.8252,0.8327,0.8228,0.8314,3039
2007-05-14 00:00:00+00:00,0.8318,0.835,0.8317,0.832,2053
2007-05-15 00:00:00+00:00,0.8321,0.8346,0.8302,0.8336,2288
2007-05-16 00:00:00+00:00,0.8335,0.8338,0.823,0.8235,3079
2007-05-17 00:00:00+00:00,0.8237,0.8269,0.8202,0.823,2756
2007-05-18 00:00:00+00:00,0.8231,0.8256,0.8205,0.8227,2591
2007-05-21 00:00:00+00:00,0.8238,0.8246,0.8181,0.8212,2117
2007-05-22 00:00:00+00:00,0.821,0.823,0.8185,0.8191,2241
2007-05-23 00:00:00+00:00,0.8192,0.8266,0.8192,0.8227,2708
2007-05-24 00:00:00+00:00,0.8228,0.8235,0.8178,0.8184,2569
2007-05-25 00:00:00+00:00,0.8183,0.8217,0.8173,0.8177,2599
2007-05-28 00:00:00+00:00,0.8183,0.8198,0.818,0.8192,439
2007-05-29 00:00:00+00:00,0.8195,0.821,0.8162,0.8181,2065
2007-05-30 00:00:00+00:00,0.8183,0.8238,0.8173,0.823,2662
2007-05-31 00:00:00+00:00,0.8228,0.8291,0.8214,0.8267,3200
2007-06-01 00:00:00+00:00,0.827,0.8329,0.827,0.8329,2672
2007-06-04 00:00:00+00:00,0.8324,0.8346,0.8309,0.8345,2663
2007-06-05 00:00:00+00:00,0.8343,0.8406,0.8335,0.837,3067
2007-06-06 00:00:00+00:00,0.8371,0.8438,0.8368,0.8413,3409
2007-06-07 00:00:00+00:00,0.8411,0.8475,0.8386,0.8407,4189
2007-06-08 00:00:00+00:00,0.8406,0.8447,0.8364,0.8447,4747
2007-06-11 00:00:00+00:00,0.844,0.8443,0.8389,0.8432,3215
2007-06-12 00:00:00+00:00,0.8431,0.8446,0.839,0.84,3010
2007-06-13 00:00:00+00:00,0.8402,0.8424,0.8357,0.8396,4005
2007-06-14 00:00:00+00:00,0.8395,0.8406,0.8332,0.8353,3373
2007-06-15 00:00:00+00:00,0.8352,0.8421,0.835,0.842,3288
2007-06-18 00:00:00+00:00,0.8414,0.8452,0.8398,0.8423,3365
2007-06-19 00:00:00+00:00,0.8424,0.8469,0.842,0.8461,3044
2007-06-20 00:00:00+00:00,0.8463,0.8475,0.8428,0.8431,3453
2007-06-21 00:00:00+00:00,0.843,0.8474,0.8429,0.8472,3158
2007-06-22 00:00:00+00:00,0.8469,0.8493,0.8454,0.8471,3341
2007-06-25 00:00:00+00:00,0.8482,0.8497,0.846,0.8473,3167
2007-06-26 00:00:00+00:00,0.8472,0.851,0.8451,0.8453,3762
2007-06-27 00:00:00+00:00,0.8452,0.8459,0.8355,0.8388,5427
2007-06-28 00:00:00+00:00,0.8387,0.8469,0.8382,0.8467,4861
2007-06-29 00:00:00+00:00,0.8468,0.8521,0.8461,0.8492,4476
2007-07-02 00:00:00+00:00,0.8525,0.8599,0.8496,0.8591,4235
2007-07-03 00:00:00+00:00,0.859,0.8599,0.854,0.8545,4249
2007-07-04 00:00:00+00:00,0.8548,0.8589,0.8542,0.8574,2872
2007-07-05 00:00:00+00:00,0.8575,0.8608,0.8553,0.8558,3382
2007-07-06 00:00:00+00:00,0.8561,0.8589,0.8549,0.8581,3195
2007-07-09 00:00:00+00:00,0.858,0.8613,0.8568,0.8602,2806
2007-07-10 00:00:00+00:00,0.8601,0.8634,0.8565,0.8605,4025
2007-07-11 00:00:00+00:00,0.8603,0.8639,0.8573,0.8631,4934
2007-07-12 00:00:00+00:00,0.863,0.8668,0.8603,0.8665,4027
2007-07-13 00:00:00+00:00,0.8667,0.8716,0.8653,0.8711,4104
2007-07-16 00:00:00+00:00,0.87,0.8759,0.8696,0.872,2270
2007-07-17 00:00:00+00:00,0.8721,0.8751,0.8708,0.8725,3161
2007-07-18 00:00:00+00:00,0.8726,0.8787,0.8717,0.8775,4032
2007-07-19 00:00:00+00:00,0.8776,0.8808,0.8762,0.8799,3873
2007-07-20 00:00:00+00:00,0.8802,0.8833,0.8752,0.8801,4252
2007-07-23 00:00:00+00:00,0.8797,0.8842,0.879,0.8827,3159
2007-07-24 00:00:00+00:00,0.8828,0.8862,0.8805,0.8811,4456
2007-07-25 00:00:00+00:00,0.8816,0.887,0.8786,0.8845,6199
2007-07-26 00:00:00+00:00,0.8844,0.8867,0.8666,0.8683,6557
2007-07-27 00:00:00+00:00,0.8684,0.8766,0.8509,0.8517,11489
2007-07-30 00:00:00+00:00,0.8482,0.8582,0.8458,0.8581,8463
2007-07-31 00:00:00+00:00,0.8582,0.8614,0.8495,0.8496,7206
2007-08-01 00:00:00+00:00,0.8497,0.8567,0.8446,0.8563,8554
2007-08-02 00:00:00+00:00,0.8564,0.8602,0.8491,0.858,5976
2007-08-03 00:00:00+00:00,0.8579,0.8602,0.8536,0.8547,4974
