time,open,high,low,close,volume
2007-02-05 00:00:00+00:00,238.15,238.17,235.45,235.75,13595
2007-02-06 00:00:00+00:00,235.73,237.28,235.35,236.62,13277
2007-02-07 00:00:00+00:00,236.58,238.01,236.37,237.6,11914
2007-02-08 00:00:00+00:00,237.58,238.86,236.93,237.24,14071
2007-02-09 00:00:00+00:00,237.26,237.85,236.21,237.2,12800
2007-02-12 00:00:00+00:00,238.19,238.49,236.63,237.12,11686
2007-02-13 00:00:00+00:00,237.13,237.24,235.37,235.84,13402
2007-02-14 00:00:00+00:00,235.87,237.21,235.62,236.97,15706
2007-02-15 00:00:00+00:00,236.94,237.06,232.47,232.55,19036
2007-02-16 00:00:00+00:00,232.59,233.46,232.12,232.82,13675
2007-02-19 00:00:00+00:00,233.1,233.83,232.09,233.46,9804
2007-02-20 00:00:00+00:00,233.47,235.13,233.22,234.65,12671
2007-02-21 00:00:00+00:00,234.63,236.42,233.77,236.14,16225
2007-02-22 00:00:00+00:00,236.15,237.99,235.69,237.75,13868
2007-02-23 00:00:00+00:00,237.77,238.17,237.36,237.58,14636
2007-02-26 00:00:00+00:00,237.35,237.56,236.26,237.01,10544
2007-02-27 00:00:00+00:00,237.0,237.04,230.66,232.17,20258
2007-02-28 00:00:00+00:00,232.18,233.0,230.94,232.64,25331
2007-03-01 00:00:00+00:00,232.7,233.49,229.45,230.27,20985
2007-03-02 00:00:00+00:00,230.25,230.58,226.55,226.96,19274
2007-03-05 00:00:00+00:00,226.8,226.8,221.13,221.14,22214
2007-03-06 00:00:00+00:00,221.13,225.81,221.07,225.75,17613
2007-03-07 00:00:00+00:00,225.77,226.2,223.25,223.61,15506
2007-03-08 00:00:00+00:00,223.63,226.85,222.82,226.15,15605
2007-03-09 00:00:00+00:00,226.14,228.71,225.86,228.54,13902
2007-03-12 00:00:00+00:00,228.92,229.67,225.79,227.06,14287
2007-03-13 00:00:00+00:00,227.04,227.42,223.64,223.88,16192
2007-03-14 00:00:00+00:00,223.89,227.2,222.6,226.92,19296
2007-03-15 00:00:00+00:00,226.93,228.03,226.21,227.21,16009
2007-03-16 00:00:00+00:00,227.22,227.72,226.36,226.61,15528
2007-03-19 00:00:00+00:00,225.59,229.11,225.53,228.35,15277
2007-03-20 00:00:00+00:00,228.34,230.77,228.34,229.96,15438
2007-03-21 00:00:00+00:00,229.95,231.52,229.83,231.0,12598
2007-03-22 00:00:00+00:00,231.02,232.21,230.64,232.06,14204
2007-03-23 00:00:00+00:00,232.07,232.32,230.46,231.67,13270
2007-03-26 00:00:00+00:00,231.1,232.7,230.82,232.54,13119
2007-03-27 00:00:00+00:00,232.52,232.97,231.25,231.5,13116
2007-03-28 00:00:00+00:00,231.52,231.88,228.75,229.32,12340
2007-03-29 00:00:00+00:00,229.35,231.75,229.09,231.71,13393
2007-03-30 00:00:00+00:00,231.72,231.96,230.54,231.84,14858
2007-04-02 00:00:00+00:00,231.38,233.1,231.21,233.04,12266
2007-04-03 00:00:00+00:00,233.03,235.09,232.85,234.63,12834
2007-04-04 00:00:00+00:00,234.64,234.89,234.04,234.39,12336
2007-04-05 00:00:00+00:00,234.36,234.78,233.52,233.96,11207
2007-04-06 00:00:00+00:00,233.95,234.6,233.79,234.32,6083
2007-04-09 00:00:00+00:00,234.34,234.53,233.74,234.1,6114
2007-04-10 00:00:00+00:00,234.07,235.35,233.64,234.67,11750
2007-04-11 00:00:00+00:00,234.65,236.28,234.6,235.78,12367
2007-04-12 00:00:00+00:00,235.79,236.1,235.14,235.64,12404
2007-04-13 00:00:00+00:00,235.67,236.96,234.75,236.84,13569
2007-04-16 00:00:00+00:00,237.08,238.57,236.4,238.02,13630
2007-04-17 00:00:00+00:00,238.0,239.42,237.15,238.75,13523
2007-04-18 00:00:00+00:00,238.72,238.92,236.75,237.92,13905
2007-04-19 00:00:00+00:00,237.93,238.2,235.21,237.14,15838
2007-04-20 00:00:00+00:00,237.13,238.31,236.88,237.6,12137
2007-04-23 00:00:00+00:00,238.07,238.32,236.28,237.17,12179
2007-04-24 00:00:00+00:00,237.18,238.0,235.96,237.29,12940
2007-04-25 00:00:00+00:00,237.25,237.99,236.89,237.45,11257
2007-04-26 00:00:00+00:00,237.47,238.74,237.25,237.92,12740
2007-04-27 00:00:00+00:00,237.96,239.38,237.32,238.92,10587
2007-04-30 00:00:00+00:00,238.04,239.02,237.86,238.72,11629
2007-05-01 00:00:00+00:00,238.74,239.75,238.64,239.31,10842
2007-05-02 00:00:00+00:00,239.29,239.59,238.61,238.97,13312
2007-05-03 00:00:00+00:00,238.96,239.56,238.9,239.25,9135
2007-05-04 00:00:00+00:00,239.24,239.53,238.75,239.38,11894
2007-05-07 00:00:00+00:00,239.53,239.59,239.11,239.32,10250
2007-05-08 00:00:00+00:00,239.34,239.39,238.17,238.67,12817
2007-05-09 00:00:00+00:00,238.68,239.52,238.03,239.24,11638
2007-05-10 00:00:00+00:00,239.25,239.75,236.85,236.89,15606
2007-05-11 00:00:00+00:00,236.9,238.43,236.42,238.13,15722
2007-05-14 00:00:00+00:00,238.2,238.65,237.89,238.27,9062
2007-05-15 00:00:00+00:00,238.25,239.0,237.71,238.72,11865
2007-05-16 00:00:00+00:00,238.71,239.36,238.56,238.79,11172
2007-05-17 00:00:00+00:00,238.81,239.61,238.61,239.46,10712
2007-05-18 00:00:00+00:00,239.45,239.89,237.79,239.17,11404
2007-05-21 00:00:00+00:00,239.19,239.6,238.99,239.42,9983
2007-05-22 00:00:00+00:00,239.38,240.2,239.1,240.0,9898
2007-05-23 00:00:00+00:00,239.98,241.85,239.9,241.46,11609
2007-05-24 00:00:00+00:00,241.45,241.6,240.71,240.92,12205
2007-05-25 00:00:00+00:00,240.93,241.78,239.67,241.53,12353
2007-05-28 00:00:00+00:00,241.41,241.63,241.17,241.21,4733
2007-05-29 00:00:00+00:00,241.22,241.53,240.5,241.07,9129
2007-05-30 00:00:00+00:00,241.06,241.07,239.74,240.32,12955
2007-05-31 00:00:00+00:00,240.31,241.17,239.89,241.06,11144
2007-06-01 00:00:00+00:00,241.02,242.07,240.85,242.0,9314
2007-06-04 00:00:00+00:00,241.84,242.64,241.64,242.34,10518
2007-06-05 00:00:00+00:00,242.32,242.99,241.52,241.84,12465
2007-06-06 00:00:00+00:00,241.85,242.27,240.92,241.14,12598
2007-06-07 00:00:00+00:00,241.15,242.03,238.9,239.14,14986
2007-06-08 00:00:00+00:00,239.17,240.13,237.64,239.78,15500
2007-06-11 00:00:00+00:00,239.75,239.96,238.95,239.6,9889
2007-06-12 00:00:00+00:00,239.61,240.85,239.57,240.15,11327
2007-06-13 00:00:00+00:00,240.09,242.21,239.72,241.9,13307
2007-06-14 00:00:00+00:00,241.88,242.96,241.69,242.15,7848
2007-06-15 00:00:00+00:00,242.14,244.35,242.07,243.92,6927
2007-06-18 00:00:00+00:00,243.93,245.51,243.91,245.17,11309
2007-06-19 00:00:00+00:00,245.22,245.54,245.07,245.27,14737
2007-06-20 00:00:00+00:00,245.29,246.62,244.69,246.07,15359
2007-06-21 00:00:00+00:00,246.08,246.64,245.87,246.49,13792
2007-06-22 00:00:00+00:00,246.43,247.93,246.43,247.67,13937
2007-06-25 00:00:00+00:00,247.36,247.8,246.46,247.05,11121
2007-06-26 00:00:00+00:00,246.99,247.14,245.22,246.2,16618
2007-06-27 00:00:00+00:00,246.21,246.21,243.99,245.52,19240
2007-06-28 00:00:00+00:00,245.51,246.76,245.33,246.68,15957
2007-06-29 00:00:00+00:00,246.69,247.79,246.47,247.42,16283
2007-07-02 00:00:00+00:00,247.14,247.61,246.03,246.91,13487
2007-07-03 00:00:00+00:00,246.93,247.61,246.22,246.95,12404
2007-07-04 00:00:00+00:00,246.98,247.44,246.59,247.25,8850
2007-07-05 00:00:00+00:00,247.27,247.62,246.58,247.26,13299
2007-07-06 00:00:00+00:00,247.25,248.18,247.05,248.0,12491
2007-07-09 00:00:00+00:00,248.24,248.78,248.11,248.68,9573
2007-07-10 00:00:00+00:00,248.67,248.75,245.86,246.08,17489
2007-07-11 00:00:00+00:00,246.1,248.94,245.07,248.66,19132
2007-07-12 00:00:00+00:00,248.65,248.78,247.69,248.44,16014
2007-07-13 00:00:00+00:00,248.38,248.92,247.98,248.01,14041
2007-07-16 00:00:00+00:00,247.85,248.64,247.58,248.17,11990
2007-07-17 00:00:00+00:00,248.21,250.46,248.01,250.09,19729
2007-07-18 00:00:00+00:00,250.13,250.52,249.6,250.21,24827
2007-07-19 00:00:00+00:00,250.22,250.43,249.72,250.13,14090
2007-07-20 00:00:00+00:00,250.09,251.09,248.6,249.35,13964
2007-07-23 00:00:00+00:00,249.85,249.94,248.54,249.31,21327
2007-07-24 00:00:00+00:00,249.36,249.45,247.28,247.81,21249
2007-07-25 00:00:00+00:00,247.82,248.11,246.28,247.36,22729
2007-07-26 00:00:00+00:00,247.38,247.73,241.41,241.71,29313
2007-07-27 00:00:00+00:00,241.73,244.37,239.74,240.15,36765
2007-07-30 00:00:00+00:00,238.8,241.4,238.31,241.39,22207
2007-07-31 00:00:00+00:00,241.4,242.93,240.16,240.36,30020
2007-08-01 00:00:00+00:00,240.45,241.85,237.63,241.44,40042
2007-08-02 00:00:00+00:00,241.43,243.13,240.13,242.63,28256
